,uniqueid,stateabbr,cityname,geographiclevel,tractfips,cityfips,statedesc,latitude,longitude
6325,0107000,AL,Birmingham,City,,107000.0,Alabama,-86.7988174678,33.5275663773
40098,0107000-01073000100,AL,Birmingham,Census Tract,1073000100.0,107000.0,Alabama,-86.7228323926,33.579432832600006
2125,0107000-01073000300,AL,Birmingham,Census Tract,1073000300.0,107000.0,Alabama,-86.752433978,33.5428208686
20523,0107000-01073000400,AL,Birmingham,Census Tract,1073000400.0,107000.0,Alabama,-86.7640474064,33.5632449633
1727,0107000-01073000500,AL,Birmingham,Census Tract,1073000500.0,107000.0,Alabama,-86.7749130719,33.5442404594
7166,0107000-01073000700,AL,Birmingham,Census Tract,1073000700.0,107000.0,Alabama,-86.80168937059999,33.5525406139
2198,0107000-01073000800,AL,Birmingham,Census Tract,1073000800.0,107000.0,Alabama,-86.8330944744,33.549697789
2078,0107000-01073001100,AL,Birmingham,Census Tract,1073001100.0,107000.0,Alabama,-86.87567828520001,33.5429143325
32570,0107000-01073001200,AL,Birmingham,Census Tract,1073001200.0,107000.0,Alabama,-86.86041616860001,33.5278767706
61290,0107000-01073001400,AL,Birmingham,Census Tract,1073001400.0,107000.0,Alabama,-86.83514660600001,33.526149725799996
10564,0107000-01073001500,AL,Birmingham,Census Tract,1073001500.0,107000.0,Alabama,-86.8197191685,33.5298727342
6669,0107000-01073001600,AL,Birmingham,Census Tract,1073001600.0,107000.0,Alabama,-86.8036590482,33.5372993423
36987,0107000-01073001902,AL,Birmingham,Census Tract,1073001902.0,107000.0,Alabama,-86.74298016030001,33.5532050997
10437,0107000-01073002000,AL,Birmingham,Census Tract,1073002000.0,107000.0,Alabama,-86.71672299149999,33.5541574106
16385,0107000-01073002100,AL,Birmingham,Census Tract,1073002100.0,107000.0,Alabama,-86.7101024766,33.5650015942
106279,0107000-01073002200,AL,Birmingham,Census Tract,1073002200.0,107000.0,Alabama,-86.7276759508,33.5521301205
29866,0107000-01073002303,AL,Birmingham,Census Tract,1073002303.0,107000.0,Alabama,-86.7270445428,33.5383153207
23530,0107000-01073002305,AL,Birmingham,Census Tract,1073002305.0,107000.0,Alabama,-86.7479566084,33.5333415976
785,0107000-01073002306,AL,Birmingham,Census Tract,1073002306.0,107000.0,Alabama,-86.7490031289,33.5213873564
12071,0107000-01073002400,AL,Birmingham,Census Tract,1073002400.0,107000.0,Alabama,-86.7830315488,33.5260748309
51611,0107000-01073002700,AL,Birmingham,Census Tract,1073002700.0,107000.0,Alabama,-86.81068874520001,33.5176008419
35959,0107000-01073002900,AL,Birmingham,Census Tract,1073002900.0,107000.0,Alabama,-86.83004749,33.5132498864
24878,0107000-01073003001,AL,Birmingham,Census Tract,1073003001.0,107000.0,Alabama,-86.85771649459998,33.5125158094
42512,0107000-01073003002,AL,Birmingham,Census Tract,1073003002.0,107000.0,Alabama,-86.84414399069999,33.512258109
6640,0107000-01073003100,AL,Birmingham,Census Tract,1073003100.0,107000.0,Alabama,-86.8745506086,33.5059655756
35327,0107000-01073003200,AL,Birmingham,Census Tract,1073003200.0,107000.0,Alabama,-86.8859081961,33.5094018502
29649,0107000-01073003300,AL,Birmingham,Census Tract,1073003300.0,107000.0,Alabama,-86.8913819749,33.5171261108
38550,0107000-01073003400,AL,Birmingham,Census Tract,1073003400.0,107000.0,Alabama,-86.90148446559999,33.5052229234
31026,0107000-01073003500,AL,Birmingham,Census Tract,1073003500.0,107000.0,Alabama,-86.9195910063,33.506571401100004
41642,0107000-01073003600,AL,Birmingham,Census Tract,1073003600.0,107000.0,Alabama,-86.89813929469999,33.48476397
55416,0107000-01073003700,AL,Birmingham,Census Tract,1073003700.0,107000.0,Alabama,-86.89077294260001,33.496901858899996
9214,0107000-01073003802,AL,Birmingham,Census Tract,1073003802.0,107000.0,Alabama,-86.890000907,33.4785707794
